10:08:57.159 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
10:08:57.688 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
10:08:58.910 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
10:08:59.279 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
10:08:59.287 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = sandbox-14743eef-c91f-4332-8de4-4622fc71da1c, port = 6865, dar file = List(.daml/dist/FabCar-1.0.0.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
10:09:58.329 [sandbox-akka.actor.default-dispatcher-11] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(DAZL-Client,Admin) (context: {participantId=sandbox-participant}) 
10:11:43.166 [sandbox-akka.actor.default-dispatcher-10] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(DAZL-Client,User1) (context: {participantId=sandbox-participant}) 
10:11:43.186 [sandbox-akka.actor.default-dispatcher-16] ERROR c.d.p.a.s.ApiSubmissionService - Submission of command has failed. (context: {participantId=sandbox-participant, commandId=c233b7db3c5f4956a17754207d2d9442, parties=[User1]}) 
com.digitalasset.platform.server.api.ApiException: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(e6e66ead0c381bd7cfc40f9f5d4a57fe9f8e7ca22a2ac22dbdf49b758c3cb7c6,FabCar:Auction)) requires authorizers Admin, but only User1 were given. Details: N/A.
10:14:00.869 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
10:14:00.870 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 2 trackers (context: {participantId=sandbox-participant}) 
10:14:00.908 [sandbox-akka.actor.default-dispatcher-18] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-5, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=07:14:00.906UTC
10:15:06.326 [main] INFO  ROOT - Sandbox verbosity changed to INFO 
10:15:06.775 [sandbox-akka.actor.default-dispatcher-5] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started 
10:15:08.322 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
10:15:08.629 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
10:15:08.636 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = sandbox-a24ec634-5604-4799-af9e-ffd8f38c7ba0, port = 6865, dar file = List(.daml/dist/FabCar-1.0.0.dar), time mode = static time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
10:15:57.359 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(DAZL-Client,Admin) (context: {participantId=sandbox-participant}) 
10:24:10.436 [sandbox-akka.actor.default-dispatcher-17] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
10:24:10.437 [sandbox-akka.actor.default-dispatcher-17] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 1 trackers (context: {participantId=sandbox-participant}) 
